GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment1,JUnit,NumberMain,23,0,0,0,6,0,2,0,2,0
Assignment1,JUnit,Number,91,0,12,0,30,0,12,0,6,0
Assignment1,Collections,Student,62,0,0,0,17,0,9,0,9,0
Assignment1,Collections,StudentMainClass,145,0,4,0,22,0,6,0,4,0
